Country,Code,Date,Dose,Dose_per_10000,New_case_per_10000
Malaysia,MYS,2021-02-25,1152,0.343163539,79.232
Malaysia,MYS,2021-02-26,2632,0.784033363,76.357
Malaysia,MYS,2021-02-27,3997,1.19064641,75.949
Malaysia,MYS,2021-02-28,4679,1.393803992,72.329
Malaysia,MYS,2021-03-01,6824,2.032767352,70.797
Malaysia,MYS,2021-03-02,9299,2.770032767,66.954
Malaysia,MYS,2021-03-03,11213,3.340184689,59.377
Malaysia,MYS,2021-03-04,13838,4.122132857,59.962
Malaysia,MYS,2021-03-05,15304,4.558832291,59.545
Malaysia,MYS,2021-03-06,16608,4.947274352,56.666
Malaysia,MYS,2021-03-07,17449,5.197795651,53.492
Malaysia,MYS,2021-03-08,19137,5.700625559,52.234
Malaysia,MYS,2021-03-09,20345,6.060470658,51.076
Malaysia,MYS,2021-03-10,21215,6.319630623,49.826
Malaysia,MYS,2021-03-11,22215,6.617515639,48.075
Malaysia,MYS,2021-03-12,23894,7.117664581,45.638
Malaysia,MYS,2021-03-13,24067,7.169198689,44.754
Malaysia,MYS,2021-03-14,23739,7.071492404,43.369
Malaysia,MYS,2021-03-15,22764,6.781054513,42.018
Malaysia,MYS,2021-03-16,22100,6.583258862,41.104
Malaysia,MYS,2021-03-17,20968,6.246053024,40.14
Malaysia,MYS,2021-03-18,19767,5.888293119,38.313
Malaysia,MYS,2021-03-19,18117,5.396782842,38.318
Malaysia,MYS,2021-03-20,17653,5.258564194,39.164
Malaysia,MYS,2021-03-21,18403,5.481977957,39.05
Malaysia,MYS,2021-03-22,18961,5.648197796,38.663
Malaysia,MYS,2021-03-23,19488,5.805183199,40.014
Malaysia,MYS,2021-03-24,20667,6.156389634,40.22
Malaysia,MYS,2021-03-25,21766,6.483765267,40.839
Malaysia,MYS,2021-03-26,22077,6.576407507,39.572
Malaysia,MYS,2021-03-27,22411,6.675901102,37.585
Malaysia,MYS,2021-03-28,22562,6.72088174,37.48
Malaysia,MYS,2021-03-29,24127,7.18707179,36.743
Malaysia,MYS,2021-03-30,25810,7.688412273,35.687
Malaysia,MYS,2021-03-31,27002,8.043491212,36.587
Malaysia,MYS,2021-04-01,29384,8.753053321,35.821
Malaysia,MYS,2021-04-02,31345,9.337205839,35.901
Malaysia,MYS,2021-04-03,31527,9.391420912,37.749
Malaysia,MYS,2021-04-04,31324,9.330950253,37.947
Malaysia,MYS,2021-04-05,30389,9.052427763,38.49
Malaysia,MYS,2021-04-06,29214,8.702412869,39.193
Malaysia,MYS,2021-04-07,28297,8.429252309,37.749
Malaysia,MYS,2021-04-08,26073,7.766756032,38.2
Malaysia,MYS,2021-04-09,24807,7.389633601,40.557
Malaysia,MYS,2021-04-10,24567,7.318141197,40.018
Malaysia,MYS,2021-04-11,25709,7.658325886,41.66
Malaysia,MYS,2021-04-12,27228,8.110813226,42.699
Malaysia,MYS,2021-04-13,26055,7.761394102,44.665
Malaysia,MYS,2021-04-14,25718,7.661006851,47.822
Malaysia,MYS,2021-04-15,25770,7.676496872,51.455
Malaysia,MYS,2021-04-16,25475,7.588620792,54.389
Malaysia,MYS,2021-04-17,24609,7.330652368,57.845
Malaysia,MYS,2021-04-18,22714,6.766160262,59.764
Malaysia,MYS,2021-04-19,21833,6.503723563,62.967
Malaysia,MYS,2021-04-20,23100,6.881143878,65.384
Malaysia,MYS,2021-04-21,22962,6.840035746,67.282
Malaysia,MYS,2021-04-22,23293,6.938635687,70.342
Malaysia,MYS,2021-04-23,23203,6.911826035,71.588
Malaysia,MYS,2021-04-24,23458,6.987786714,73.213
Malaysia,MYS,2021-04-25,24162,7.197497766,75.296
Malaysia,MYS,2021-04-26,23754,7.075960679,78.235
Malaysia,MYS,2021-04-27,23946,7.133154602,79.885
Malaysia,MYS,2021-04-28,25663,7.644623175,83.261
Malaysia,MYS,2021-04-29,23227,6.918975276,85.184
Malaysia,MYS,2021-04-30,24340,7.250521299,89.145
Malaysia,MYS,2021-05-01,23487,6.99642538,89.836
Malaysia,MYS,2021-05-02,23620,7.036044087,92.9
Malaysia,MYS,2021-05-03,26616,7.928507596,91.738
Malaysia,MYS,2021-05-04,28777,8.572237116,93.367
Malaysia,MYS,2021-05-05,30965,9.224009532,95.901
Malaysia,MYS,2021-05-06,37158,11.06881144,96.823
Malaysia,MYS,2021-05-07,40180,11.96901996,99.812
Malaysia,MYS,2021-05-08,43275,12.89097408,106.707
Malaysia,MYS,2021-05-09,45669,13.60411081,108.032
Malaysia,MYS,2021-05-10,47146,14.04408698,113.534
Malaysia,MYS,2021-05-11,47027,14.00863867,117.125
Malaysia,MYS,2021-05-12,41759,12.4393804,121.422
Malaysia,MYS,2021-05-13,33792,10.06613047,126.911
Malaysia,MYS,2021-05-14,26964,8.032171582,125.291
Malaysia,MYS,2021-05-15,24654,7.344057194,123.695
Malaysia,MYS,2021-05-16,21489,6.401251117,123.893
Malaysia,MYS,2021-05-17,21361,6.363121835,126.583
Malaysia,MYS,2021-05-18,25545,7.609472744,130.338
Malaysia,MYS,2021-05-19,35010,10.42895442,135.852
Malaysia,MYS,2021-05-20,46617,13.88650581,144.064
Malaysia,MYS,2021-05-21,55352,16.48853143,154.083
Malaysia,MYS,2021-05-22,60459,18.00983021,163.259
Malaysia,MYS,2021-05-23,65620,19.54721478,176.712
Malaysia,MYS,2021-05-24,70651,21.04587429,185.396
Malaysia,MYS,2021-05-25,73857,22.00089366,195.599
Malaysia,MYS,2021-05-26,65005,19.36401549,201.505
Malaysia,MYS,2021-05-27,68902,20.5248734,205.929
Malaysia,MYS,2021-05-28,70819,21.09591898,213.493
Malaysia,MYS,2021-05-29,73606,21.92612452,224.858
Malaysia,MYS,2021-05-30,75946,22.62317545,224.955
Malaysia,MYS,2021-05-31,76014,22.64343164,226.281
Malaysia,MYS,2021-06-01,75911,22.61274948,225.506
Malaysia,MYS,2021-06-02,87991,26.21120048,226.454
Malaysia,MYS,2021-06-03,89527,26.66875186,227.935
Malaysia,MYS,2021-06-04,91938,27.38695264,225.654
Malaysia,MYS,2021-06-05,92999,27.70300864,219.054
Malaysia,MYS,2021-06-06,95852,28.55287459,215.863
Malaysia,MYS,2021-06-07,91501,27.25677688,209.326
Malaysia,MYS,2021-06-08,99364,29.59904677,202.848
Malaysia,MYS,2021-06-09,106536,31.73547811,196.685
Malaysia,MYS,2021-06-10,112535,33.52249032,186.002
Malaysia,MYS,2021-06-11,117567,35.02144772,182.218
Malaysia,MYS,2021-06-12,126714,37.74620197,175.234
Malaysia,MYS,2021-06-13,133745,39.84063152,171.29
Malaysia,MYS,2021-06-14,153472,45.71700923,169.935
Malaysia,MYS,2021-06-15,163248,48.62913315,169.316
Malaysia,MYS,2021-06-16,171460,51.07536491,164.732
Malaysia,MYS,2021-06-17,181219,53.98242478,165.014
Malaysia,MYS,2021-06-18,189683,56.50372356,163.293
Malaysia,MYS,2021-06-19,194626,57.9761692,163.789
Malaysia,MYS,2021-06-20,196729,58.60262139,163.743
Malaysia,MYS,2021-06-21,202665,60.37086685,162.32
Malaysia,MYS,2021-06-22,207937,61.94131665,159.475
Malaysia,MYS,2021-06-23,215217,64.10991957,159.87
Malaysia,MYS,2021-06-24,222110,66.16324099,160.304
Malaysia,MYS,2021-06-25,227433,67.74888293,157.66
Malaysia,MYS,2021-06-26,231276,68.89365505,157.206
Malaysia,MYS,2021-06-27,235742,70.22400953,158.439
Malaysia,MYS,2021-06-28,230694,68.72028597,160.994
Malaysia,MYS,2021-06-29,228423,68.0437891,168.125
Malaysia,MYS,2021-06-30,229179,68.26899017,172.469
Malaysia,MYS,2021-07-01,228099,67.94727435,177.297
Malaysia,MYS,2021-07-02,230639,68.70390229,182.222
Malaysia,MYS,2021-07-03,234221,69.77092642,185.821
Malaysia,MYS,2021-07-04,239640,71.38516533,187.753
Malaysia,MYS,2021-07-05,256483,76.40244266,192.674
Malaysia,MYS,2021-07-06,272469,81.16443253,197.796
Malaysia,MYS,2021-07-07,290272,86.46767948,201.252
Malaysia,MYS,2021-07-08,307475,91.59219541,209.166
Malaysia,MYS,2021-07-09,323146,96.2603515,218.418
Malaysia,MYS,2021-07-10,339204,101.0437891,229.762
Malaysia,MYS,2021-07-11,350965,104.5472148,242.643
Malaysia,MYS,2021-07-12,366247,109.0994936,251.848
Malaysia,MYS,2021-07-13,378202,112.660709,266.265
Malaysia,MYS,2021-07-14,387343,115.3836759,285.296
Malaysia,MYS,2021-07-15,399991,119.1513256,303.594
Malaysia,MYS,2021-07-16,409645,122.0271075,317.741
Malaysia,MYS,2021-07-17,418370,124.6261543,331.106
Malaysia,MYS,2021-07-18,426741,127.1197498,337.862
Malaysia,MYS,2021-07-19,427950,127.4798928,347.956
Malaysia,MYS,2021-07-20,409682,122.0381293,353.373
Malaysia,MYS,2021-07-21,409730,122.0524278,354.918
Malaysia,MYS,2021-07-22,415609,123.8036938,354.156
Malaysia,MYS,2021-07-23,424355,126.4089961,366.919
Malaysia,MYS,2021-07-24,429507,127.9436997,381.121
Malaysia,MYS,2021-07-25,438202,130.5338099,407.787
Malaysia,MYS,2021-07-26,451795,134.582961,422.705
Malaysia,MYS,2021-07-27,489030,145.6747096,438.494
Malaysia,MYS,2021-07-28,506625,150.9159964,461.309
Malaysia,MYS,2021-07-29,515419,153.5355973,478.719
Malaysia,MYS,2021-07-30,523566,155.9624665,484.052
Malaysia,MYS,2021-07-31,539388,160.6756032,491.982
Malaysia,MYS,2021-08-01,550625,164.0229371,492.424
Malaysia,MYS,2021-08-02,543593,161.9282097,497.677
Malaysia,MYS,2021-08-03,533947,159.0548108,501.836
Malaysia,MYS,2021-08-04,524470,156.2317545,511.998
Malaysia,MYS,2021-08-05,518365,154.4131665,526.419
Malaysia,MYS,2021-08-06,509101,151.6535597,543.462
Malaysia,MYS,2021-08-07,495963,147.7399464,549.654
Malaysia,MYS,2021-08-08,483945,144.1599643,556.128
Malaysia,MYS,2021-08-09,483822,144.1233244,562.324
Malaysia,MYS,2021-08-10,465812,138.7584153,574.472
Malaysia,MYS,2021-08-11,466320,138.9097408,578.518
Malaysia,MYS,2021-08-12,468268,139.4900209,583.03
Malaysia,MYS,2021-08-13,471987,140.5978552,585.467
Malaysia,MYS,2021-08-14,474722,141.4125707,591.415
Malaysia,MYS,2021-08-15,478790,142.624367,599.236
Malaysia,MYS,2021-08-16,484288,144.2621388,609.776
Malaysia,MYS,2021-08-17,508704,151.5352994,608.261
Malaysia,MYS,2021-08-18,516226,153.7759905,614.415
Malaysia,MYS,2021-08-19,515780,153.6431338,619.803
Malaysia,MYS,2021-08-20,518340,154.4057194,628.626
Malaysia,MYS,2021-08-21,522673,155.6964552,635.327
Malaysia,MYS,2021-08-22,526224,156.7542449,632.216
Malaysia,MYS,2021-08-23,510815,152.1641346,623.511
Malaysia,MYS,2021-08-24,496152,147.7962466,628.588
Malaysia,MYS,2021-08-25,478958,142.6744117,630.271
Malaysia,MYS,2021-08-26,463348,138.0244266,637.221
Malaysia,MYS,2021-08-27,443731,132.1808162,630.932
Malaysia,MYS,2021-08-28,425467,126.7402443,632.342
Malaysia,MYS,2021-08-29,406564,121.1093238,635.592
Malaysia,MYS,2021-08-30,402774,119.9803396,642.31
Malaysia,MYS,2021-08-31,379985,113.191838,642.563
Malaysia,MYS,2021-09-01,377004,112.3038427,626.23
Malaysia,MYS,2021-09-02,371976,110.8060769,611.031
Malaysia,MYS,2021-09-03,369349,110.0235329,599.699
Malaysia,MYS,2021-09-04,364003,108.4310396,584.798
Malaysia,MYS,2021-09-05,361710,107.7479893,584.028
Malaysia,MYS,2021-09-06,354737,105.6708371,575.963
Malaysia,MYS,2021-09-07,363951,108.4155496,566.071
Malaysia,MYS,2021-09-08,352634,105.0443849,570.158
Malaysia,MYS,2021-09-09,345281,102.8540363,563.082
Malaysia,MYS,2021-09-10,339331,101.0816205,570.65
Malaysia,MYS,2021-09-11,332215,98.96187072,572.726
Malaysia,MYS,2021-09-12,322772,96.14894251,567.683
Malaysia,MYS,2021-09-13,309673,92.24694668,562.299
Malaysia,MYS,2021-09-14,297670,88.67143283,550.185
Malaysia,MYS,2021-09-15,286524,85.35120643,549.183
Malaysia,MYS,2021-09-16,267559,79.7018171,547.112
Malaysia,MYS,2021-09-17,259779,77.38427167,531.962
Malaysia,MYS,2021-09-18,255286,76.04587429,515.121
Malaysia,MYS,2021-09-19,253583,75.53857611,497.257
Malaysia,MYS,2021-09-20,262270,78.12630325,489.983
Malaysia,MYS,2021-09-21,263377,78.45606196,490.362
Malaysia,MYS,2021-09-22,272994,81.32082216,471.399
Malaysia,MYS,2021-09-23,291188,86.74054215,450.095
Malaysia,MYS,2021-09-24,295305,87.96693476,437.37
Malaysia,MYS,2021-09-25,298614,88.95263628,430.425
Malaysia,MYS,2021-09-26,304993,90.8528448,422.638
Malaysia,MYS,2021-09-27,308622,91.93386953,408.385
Malaysia,MYS,2021-09-28,318421,94.8528448,389.75
Malaysia,MYS,2021-09-29,320471,95.46350909,378.991
Malaysia,MYS,2021-09-30,319851,95.27882038,374.702
Malaysia,MYS,2021-10-01,313681,93.44086982,363.484
Malaysia,MYS,2021-10-02,305904,91.12421805,350.923
Malaysia,MYS,2021-10-03,296554,88.33899315,333.926
Malaysia,MYS,2021-10-04,282075,84.025916,321.786
Malaysia,MYS,2021-10-05,266421,79.36282395,311.2
Malaysia,MYS,2021-10-06,246966,73.56747096,298.345
Malaysia,MYS,2021-10-07,227162,67.66815609,286.369
Malaysia,MYS,2021-10-08,217947,64.92314567,277.37
Malaysia,MYS,2021-10-09,207624,61.84807864,268.227
Malaysia,MYS,2021-10-10,196063,58.40422997,261.101
Malaysia,MYS,2021-10-11,190296,56.68632708,255.351
Malaysia,MYS,2021-10-12,187811,55.94608281,248.864
Malaysia,MYS,2021-10-13,187553,55.86922848,242.845
Malaysia,MYS,2021-10-14,189204,56.36103664,235.243
Malaysia,MYS,2021-10-15,189381,56.41376229,225.431
Malaysia,MYS,2021-10-16,187433,55.83348228,220.236
Malaysia,MYS,2021-10-17,188184,56.05719392,215.067
Malaysia,MYS,2021-10-18,191128,56.93416741,209.7
Malaysia,MYS,2021-10-19,180030,53.6282395,203.256
Malaysia,MYS,2021-10-20,187346,55.80756628,193.01
Malaysia,MYS,2021-10-21,191751,57.11974978,185.122
Malaysia,MYS,2021-10-22,189034,56.31039619,181.797
Malaysia,MYS,2021-10-23,186588,55.58176944,174.721
Malaysia,MYS,2021-10-24,185073,55.13047364,172.705
Malaysia,MYS,2021-10-25,181643,54.10872803,169.96
Malaysia,MYS,2021-10-26,188762,56.22937146,169.88
Malaysia,MYS,2021-10-27,175521,52.28507596,172.54
Malaysia,MYS,2021-10-28,167898,50.01429848,173.243
Malaysia,MYS,2021-10-29,164911,49.12451594,170.844
Malaysia,MYS,2021-10-30,159077,47.38665475,170.954
Malaysia,MYS,2021-10-31,149867,44.64313375,168.062
Malaysia,MYS,2021-11-01,138408,41.22966935,167.405
Malaysia,MYS,2021-11-02,129419,38.55198094,164.648
Malaysia,MYS,2021-11-03,121293,36.13136729,161.041
Malaysia,MYS,2021-11-04,99829,29.7375633,158.246
Malaysia,MYS,2021-11-05,91300,27.196902,153.455
Malaysia,MYS,2021-11-06,86244,25.69079535,148.602
Malaysia,MYS,2021-11-07,82483,24.57044981,145.925
Malaysia,MYS,2021-11-08,82495,24.57402443,145.575
Malaysia,MYS,2021-11-09,81469,24.2683944,146.973
Malaysia,MYS,2021-11-10,83826,24.97050938,150.98
Malaysia,MYS,2021-11-11,98865,29.45040214,153.548
Malaysia,MYS,2021-11-12,103551,30.84629133,160.262
Malaysia,MYS,2021-11-13,105650,31.47155198,164.926
Malaysia,MYS,2021-11-14,106423,31.7018171,168.373
Malaysia,MYS,2021-11-15,105505,31.42835865,170.899
Malaysia,MYS,2021-11-16,106315,31.66964552,170.941
Malaysia,MYS,2021-11-17,104403,31.10008937,171.13
Malaysia,MYS,2021-11-18,101424,30.2126899,171.37
Malaysia,MYS,2021-11-19,99990,29.78552279,170.688
Malaysia,MYS,2021-11-20,98400,29.31188561,170.899
Malaysia,MYS,2021-11-21,97326,28.9919571,169.602
Malaysia,MYS,2021-11-22,98249,29.26690497,168.516
Malaysia,MYS,2021-11-23,100365,29.89722967,169.278
Malaysia,MYS,2021-11-24,103313,30.7753947,167.035
Malaysia,MYS,2021-11-25,105509,31.42955019,166.041
Malaysia,MYS,2021-11-26,106575,31.74709562,162.446
Malaysia,MYS,2021-11-27,107772,32.10366399,159.239
Malaysia,MYS,2021-11-28,108439,32.30235329,156.65
Malaysia,MYS,2021-11-29,108349,32.27554364,153.291
Malaysia,MYS,2021-11-30,108246,32.24486148,150.281
Malaysia,MYS,2021-12-01,108792,32.4075067,148.951
Malaysia,MYS,2021-12-02,110391,32.88382484,147.529
Malaysia,MYS,2021-12-03,112272,33.44414656,147.739
Malaysia,MYS,2021-12-04,114465,34.0974084,146.893
Malaysia,MYS,2021-12-05,116401,34.67411379,147.141
Malaysia,MYS,2021-12-06,115004,34.25796842,147.878
Malaysia,MYS,2021-12-07,113642,33.85224903,148.24
Malaysia,MYS,2021-12-08,111299,33.15430444,146.476
Malaysia,MYS,2021-12-09,110065,32.78671433,144.961
Malaysia,MYS,2021-12-10,109886,32.73339291,142.886
Malaysia,MYS,2021-12-11,110159,32.81471552,141.749
Malaysia,MYS,2021-12-12,111927,33.34137623,138.348
Malaysia,MYS,2021-12-13,116400,34.67381591,135.157
Malaysia,MYS,2021-12-14,121649,36.23741436,131.504
Malaysia,MYS,2021-12-15,127945,38.11289842,126.789
Malaysia,MYS,2021-12-16,132388,39.43640155,121.805
Malaysia,MYS,2021-12-17,137696,41.01757522,118.876
